Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2010-09-08,320.205322265625,321.6077478774915,312.86543760948325,314.7231696482971,4189478
2010-09-09,318.620849609375,321.4620965544479,317.4005552232549,321.2799650549836,2938158
2010-09-13,320.4603271484375,323.82975940319517,317.1637519295411,317.40050950503274,2349410
2010-09-14,326.1428527832031,327.47242156366985,320.6606993381896,321.64421383839874,3071038
2010-09-15,333.2276916503906,334.903314305844,327.4723423602605,327.8366052549883,5560394
2010-09-16,326.1611633300781,332.7361073284334,314.90542552013824,330.75086914087393,2334264
2010-09-17,332.8634338378906,334.6665396408918,327.87302765735717,327.87302765735717,3007978
2010-09-20,332.2989501953125,335.81409733935425,330.27729481882545,334.02919959342455,2419108
2010-09-21,347.4886474609375,348.96390796977283,331.5885607151053,332.2078121799925,4997184
2010-09-22,340.67694091796875,349.6924493785084,338.76456033543,348.23539750609797,4031066
2010-09-23,339.25628662109375,344.33775917570347,337.963157606477,342.407170004164,3327236
2010-09-24,339.4749755859375,341.64234531849917,336.9433427801001,339.8938647804925,2738784
2010-09-27,337.8902587890625,342.9353133182881,335.85039543228567,340.5858131553005,3423290
2010-09-28,334.9943542480469,338.87374043863076,332.97267755162375,337.0342174083955,2521714
2010-09-29,335.2494201660156,341.40547333698345,333.2642047384377,336.94325189299514,3370194
2010-09-30,337.6535339355469,338.76453144694904,333.3552357250471,336.94321676175036,7560924
2010-10-01,350.2752685546875,351.87803454097383,335.8504636095009,337.67177848807734,3326156
2010-10-04,348.1623840332031,355.15623432493857,347.1424526273502,352.15106618834295,2140956
2010-10-05,346.1408996582031,351.8598329389046,344.6474303207729,346.0498339124367,2211664
2010-10-06,349.5649108886719,352.5700798997313,346.049764909871,346.049764909871,1838960
2010-10-07,345.6126708984375,351.87799787444806,341.82434968545914,349.6924202478987,1972940
2010-10-08,343.35430908203125,347.7619049037056,316.5445600683469,343.8824949004069,2695996
2010-10-11,342.7350158691406,347.4886428829145,338.41848660567325,343.3542450930235,3065370
2010-10-12,346.3048400878906,348.1625725030193,342.0793759293746,343.3725273714094,2608902
2010-10-13,361.658447265625,363.4251358456706,345.721943808964,348.21715826131407,5350604
2010-10-14,359.1814880371094,365.72001262979916,357.8337106356294,363.1337545013526,2949086
2010-10-15,346.1590270996094,368.26978942774485,344.22843818913833,363.89863465708913,5717798
2010-10-18,357.4330139160156,358.43473701234075,338.76453802995616,353.3350557946855,4480734
2010-10-19,352.51556396484375,359.67334173621674,351.18599494928327,357.7063123879892,2200912
2010-10-20,350.87640380859375,357.1599417953036,348.3083535997265,351.3317326482104,2206638
2010-10-21,359.23602294921875,362.0226203796886,353.33496040110657,354.8102204799247,3752354
2010-10-22,378.9064025878906,382.2576492898494,372.2768329382849,372.2768329382849,9610404
2010-10-25,388.65045166015625,390.83603000654426,377.81362569264934,379.9263692137731,5156316
